,Unnamed: 0,subjectID,iTrial,video,action,condition,rating,rt,survey,nTrials,Index
0,74,0,14,zipPlasticBag_far,zipPlasticBag,far,7,7220,The person slides her hand as if telling us to grab and close the zip lock bag. ,29,74
1,60,0,0,drinkCup_absent,drinkCup,absent,5,10888,Asking for a sip of water.,29,60
2,61,0,1,peelPostIt_far,peelPostIt,far,3,17822,"Maybe attempting to ask for a writing utensil, but they could have been just moving their hand.",29,61
3,62,0,2,snipScissors_absent,snipScissors,absent,1,6364,Closing their fingers.,29,62
4,63,0,3,tweezeTweezer_absent,tweezeTweezer,absent,1,9639,"Smashing their thumb into their index finger as to represent pressing a button, but I don't see how this can mean communicating.",29,63
5,64,0,4,igniteLighter_far,igniteLighter,far,1,10359,Moving her thumb backwards imitating using the lighter. ,29,64
6,65,0,5,foldNapkin_far,foldNapkin,far,1,8479,Moving her index fingers backwards as if folding the napkin. ,29,65
7,66,0,6,flipPage_far,flipPage,far,1,7656,Moving her hand over and pretending to be pinching a page of the book in front of her.,29,66
8,67,0,7,brushTableBroom_do,brushTableBroom,do,1,19863,"Using a brush to sweep a piece of paper. I don't quite see what is being communicated in this video, or if something is being communicated.",29,67
9,68,0,8,blowCandle_do,blowCandle,do,5,19639,The person is blowing on the candle to show that the smell from the burning wax is too much.,29,68
10,69,0,9,pullTissue_absent,pullTissue,absent,6,14655,"The person is lifting her hand as if she is holding a piece of paper, she is imitating raising a colored paper as if voting in a public census.",29,69
11,70,0,10,openGluestick_absent,openGluestick,absent,1,11031,"The person moved her right hand upright, but I see no message from that.",29,70
12,71,0,11,eraseMark_do,eraseMark,do,5,20191,The person is showing us that she doesn't want the writing on the piece of paper.,29,71
13,72,0,12,dispenseSoap_absent,dispenseSoap,absent,5,11256,She is telling us to lower our voices to a normal level by bringing both of her hands to the same height.,29,72
14,73,0,13,tapPhone_do,tapPhone,do,3,9504,The person is clicking on her phone very forcefully as if she doesn't have much experience.,29,73
15,87,0,27,flickTrash_far,flickTrash,far,6,8656,The person is flicking her fingers as if hitting the paper ball. She tries to tell us to pass her the ball so we can play a game passing it back and fourth.,29,87
16,75,0,15,closeJar_far,closeJar,far,7,5087,The person rotates her hand as to motion us (the audience) to open the jar.,29,75
17,76,0,16,chargePhone_do,chargePhone,do,1,4169,"The person connects the charger to the phone, no message is being sent.",29,76
18,77,0,17,openSnack_absent,openSnack,absent,7,8510,The person is telling us to tear the edge of a piece of paper by pretending to be pinching something and rotating her hands.,29,77
19,78,0,18,crushBottle_far,crushBottle,far,6,5041,The person closes her fist as if to tell us to crush the bottle.,29,78
20,79,0,19,foldPaper_do,foldPaper,do,5,5292,The person is folding a piece of paper.,29,79
21,80,0,20,insertAirpod_do,insertAirpod,do,6,7552,The person puts on an air pod to cancel out the loud noise outside. ,29,80
22,81,0,21,pressRemote_far,pressRemote,far,6,4760,The person imitates pressing a button like an earlier video but this time we know it is a remote that she wants us to pass or press on.,29,81
23,82,0,22,swipePhone_absent,swipePhone,absent,6,6008,The person is imitating scrolling through a phone.,29,82
24,83,0,23,drinkMug_do,drinkMug,do,6,5976,The person lifts the cup facing the opening towards her as if she is about to take a sip.,29,83
25,84,0,24,openLid_do,openLid,do,5,7776,The person is opening the bottle because she is about to take a sip even though it is empty.,29,84
26,88,0,28,sprayBottle_absent,sprayBottle,absent,5,13295,The person is imitating taking a picture with a camera.,29,88
27,85,0,25,openCan_far,openCan,far,7,7408,The person is telling us to open the can for her by moving her index finger backwards as if opening it herself.,29,85
28,89,0,29,drawLine_absent,drawLine,absent,6,9975,The person slides her hand across imitating the closing of a zip lock bag by pinching the air.,29,89
29,86,0,26,twistCube_do,twistCube,do,2,11304,"she is trying to solve a the cube, I don't see any messages being sent to the audience.",29,86
30,477,1,27,openLid_far,openLid,far,6,4247,pretending to untwist the lid of a water bottle,29,477
31,476,1,26,openGluestick_do,openGluestick,do,7,4807,uncapping a gluestick,29,476
32,475,1,25,crushBottle_absent,crushBottle,absent,5,6564,squeezing a stress ball in her hand,29,475
33,474,1,24,chargePhone_far,chargePhone,far,6,5623,pretending to charge her phone,29,474
34,473,1,23,blowCandle_far,blowCandle,far,6,8544,pretending to blow out a candle,29,473
35,472,1,22,insertAirpod_far,insertAirpod,far,6,4232,putting on an Airpod,29,472
36,471,1,21,swipePhone_do,swipePhone,do,7,3624,scrolling on her phone,29,471
