,Index,action,survey,category,readAction,intention
0,74,zipPlasticBag,The person slides her hand as if telling us to grab and close the zip lock bag. ,show,True,both
1,60,drinkCup,Asking for a sip of water.,show,True,both
2,61,peelPostIt,"Maybe attempting to ask for a writing utensil, but they could have been just moving their hand.",show,False,both
3,62,snipScissors,Closing their fingers.,do,False,instrumental
4,63,tweezeTweezer,"Smashing their thumb into their index finger as to represent pressing a button, but I don't see how this can mean communicating.",pretend,False,none
5,64,igniteLighter,Moving her thumb backwards imitating using the lighter. ,pretend,True,none
6,65,foldNapkin,Moving her index fingers backwards as if folding the napkin. ,do,True,instrumental
7,66,flipPage,Moving her hand over and pretending to be pinching a page of the book in front of her.,pretend,True,none
8,67,brushTableBroom,"Using a brush to sweep a piece of paper. I don't quite see what is being communicated in this video, or if something is being communicated.",do,True,instrumental
9,68,blowCandle,The person is blowing on the candle to show that the smell from the burning wax is too much.,show,True,both
10,69,pullTissue,"The person is lifting her hand as if she is holding a piece of paper, she is imitating raising a colored paper as if voting in a public census.",pretend,False,none
11,70,openGluestick,"The person moved her right hand upright, but I see no message from that.",do,False,none
12,71,eraseMark,The person is showing us that she doesn't want the writing on the piece of paper.,show,True,communicative
13,72,dispenseSoap,She is telling us to lower our voices to a normal level by bringing both of her hands to the same height.,show,False,both
14,73,tapPhone,The person is clicking on her phone very forcefully as if she doesn't have much experience.,do,True,instrumental
15,87,flickTrash,The person is flicking her fingers as if hitting the paper ball. She tries to tell us to pass her the ball so we can play a game passing it back and fourth.,show,True,both
16,75,closeJar,The person rotates her hand as to motion us (the audience) to open the jar.,show,True,both
17,76,chargePhone,"The person connects the charger to the phone, no message is being sent.",do,True,instrumental
18,77,openSnack,The person is telling us to tear the edge of a piece of paper by pretending to be pinching something and rotating her hands.,show,False,both
19,78,crushBottle,The person closes her fist as if to tell us to crush the bottle.,show,True,both
20,79,foldPaper,The person is folding a piece of paper.,do,True,instrumental
21,80,insertAirpod,The person puts on an air pod to cancel out the loud noise outside. ,do,True,instrumental
22,81,pressRemote,The person imitates pressing a button like an earlier video but this time we know it is a remote that she wants us to pass or press on.,pretend,True,both
23,82,swipePhone,The person is imitating scrolling through a phone.,pretend,True,none
24,83,drinkMug,The person lifts the cup facing the opening towards her as if she is about to take a sip.,do,True,instrumental
25,84,openLid,The person is opening the bottle because she is about to take a sip even though it is empty.,do,True,instrumental
26,88,sprayBottle,The person is imitating taking a picture with a camera.,pretend,False,none
27,85,openCan,The person is telling us to open the can for her by moving her index finger backwards as if opening it herself.,show,True,both
28,89,drawLine,The person slides her hand across imitating the closing of a zip lock bag by pinching the air.,pretend,False,none
29,86,twistCube,"she is trying to solve a the cube, I don't see any messages being sent to the audience.",do,True,instrumental
30,477,openLid,pretending to untwist the lid of a water bottle,pretend,True,none
31,476,openGluestick,uncapping a gluestick,do,True,instrumental
32,475,crushBottle,squeezing a stress ball in her hand,do,True,instrumental
33,474,chargePhone,pretending to charge her phone,pretend,True,none
34,473,blowCandle,pretending to blow out a candle,pretend,True,none
35,472,insertAirpod,putting on an Airpod,do,True,instrumental
36,471,swipePhone,scrolling on her phone,do,True,instrumental
37,470,flipPage,making a rainbow,do,False,instrumental
38,469,brushTableBroom,sweeping a piece of paper into the dust bin,do,True,instrumental
39,468,drinkCup,lifting a cup to her lips,do,True,instrumental
40,467,openSnack,tearing open a bag of chips/candy/something,do,True,instrumental
41,466,igniteLighter,pressing and holding a button down,do,False,instrumental
42,452,zipPlasticBag,zipping a ziploc bag closed,do,True,instrumental
43,464,snipScissors,using scissors,do,True,instrumental
